t_sec,phase,bx_cmd,vN_cmd_raw,vE_cmd_raw,vD_cmd_raw,vN_sp,vE_sp,vD_sp,x,y,z,vx_m,vy_m,vz_m,wx_m,wy_m,wz_m,ax_m,ay_m,az_m,odom_age_s,armed,preflight_ok,qw,qx,qy,qz
0.046823,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.057822,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.077850,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.099580,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.117752,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.137848,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.158606,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.178549,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.198462,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.218374,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.238619,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.258567,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.278552,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.298592,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.318581,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.338537,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.358980,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.379097,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.398439,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.418467,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.438405,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.458386,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.478355,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.498636,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.518431,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.538395,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.558587,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.578519,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.598536,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.618380,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.639410,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.658473,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.678365,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.698849,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.718317,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.738382,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.758577,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.778656,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.798613,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.818443,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.838477,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.858845,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.878433,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.898569,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.918354,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.938553,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.958550,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.978434,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
0.998414,prestream,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.018305,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.038622,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.058446,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.078504,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.098565,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.118423,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.138474,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.158616,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.178583,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.198585,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.218796,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
1.238935,waiting_topics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,999.000,0,0,1.00000000,0.00000000,0.00000000,0.00000000
